tickerID,IQ_BUS_SEG_PRIMARY_PIC_ABS,IQ_BUS_SEG_SECONDARY_PIC_ABS,IQ_BUS_SEG_PRIMARY_SIC_ABS,IQ_BUS_SEG_SECONDARY_SIC_ABS,IQ_INDUSTRY_SECTOR,IQ_INDUSTRY_GROUP,IQ_INDUSTRY,IQ_PRIMARY_INDUSTRY,IQ_PRIMARY_INDUSTRY_SUBSECTOR5_ID,IQ_PRIMARY_INDUSTRY_SUBSECTOR5_NAME,IQ_PRIMARY_INDUSTRY_SUBSECTOR6_ID,IQ_PRIMARY_SIC_CODE,IQ_PRIMARY_SIC_INDUSTRY,IQ_COMPANY_TYPE,IQ_PICS_CODE,IQ_BUS_SEG_NAIC_ABS
NasdaqGS:ULTI,Application Software ,Internet Software & Services ,Prepackaged software (7372),Information retrieval services (7375),Information Technology,Software and Services,Software,Application Software,8041350,Enterprise Software,(Invalid Subsector ID),7372,Prepackaged software,Public Company,45103010,Software Publishers (511210)
NYSE:NYCB,Thrifts & Mortgage Finance ,0,Mortgage bankers and correspondents (6162),0,Financials,Banks,Thrifts and Mortgage Finance,Thrifts and Mortgage Finance,7013200,Savings Institutions,(Invalid Subsector ID),6036,"Savings institutions, except federal",Public Company,40102010,Real Estate Credit (522292)
NasdaqGS:ALNY,Biotechnology ,Pharmaceuticals ,Biological products except diagnostic (2836),Drugs (2830),Healthcare,"Pharmaceuticals, Biotechnology and Life Sciences",Biotechnology,Biotechnology,0,0,(Invalid Subsector ID),2834,Pharmaceutical preparations,Public Company,35201010,Biological Product (except Diagnostic) Manufacturing (325414)
NYSE:JEC,Construction & Engineering ,Research & Consulting Services ,"Engineering, architectural, and surveying services (8710)",Management and public relations services (8740),Industrials,Capital Goods,Construction and Engineering,Construction and Engineering,3041100,Commercial Construction and Engineering,(Invalid Subsector ID),1600,Heavy construction other than building construction – contractors,Public Company,20103010,"Architectural, Engineering, and Related Services (5413)"
NYSE:FDS,Financial Exchanges and Data ,Internet Software & Services ,Credit reporting services (7323),Information retrieval services (7375),Financials,Diversified Financials,Capital Markets,Financial Exchanges and Data,0,0,(Invalid Subsector ID),7370,"Computer programming, data processing, and other computer related services",Public Company,40203040,Credit Bureaus (561450)
NYSE:HUBB,Electrical Components & Equipment ,Electrical Components & Equipment ,Electric lighting and wiring equipment (3640),Electrical industrial apparatus (3620),Industrials,Capital Goods,Electrical Equipment,Electrical Components and Equipment,3051200,Electric Lighting and Wiring Equipment,(Invalid Subsector ID),3640,Electric lighting and wiring equipment,Public Company,20104010,Electric Lighting Equipment Manufacturing (3351)
NYSE:RSPP,Oil & Gas Exploration & Production ,0,Crude petroleum and natural gas (1311),0,Energy,Energy,"Oil, Gas and Consumable Fuels",Oil and Gas Exploration and Production,1032200,Oil and Gas Production,(Invalid Subsector ID),1311,Crude petroleum and natural gas,Public Company,10102020,Oil and Gas Extraction (21111)
NYSE:TYL,Application Software ,0,Prepackaged software (7372),0,Information Technology,Software and Services,Software,Application Software,8041350,Enterprise Software,(Invalid Subsector ID),7373,Computer integrated systems design,Public Company,45103010,Software Publishers (511210)
NYSE:HUN,Commodity Chemicals ,Commodity Chemicals ,"Plastic material, synthetic resins, synthetic rubber, cellulose, and other manmade fibers, except glass (2820)",Industrial organic chemicals (2869),Materials,Materials,Chemicals,Diversified Chemicals,0,0,(Invalid Subsector ID),2860,Industrial organic chemicals,Public Company,15101020,"Resin, Synthetic Rubber, and Artificial Synthetic Fibers and Filaments Manufacturing (3252)"
TSX:GIL,"Apparel, Accessories & Luxury Goods ",Footwear ,Apparel and other finished products made from fabrics and similar materials (2300),Hosiery (2252),Consumer Discretionary,Consumer Durables and Apparel,"Textiles, Apparel and Luxury Goods","Apparel, Accessories and Luxury Goods",4131100,Apparel,(Invalid Subsector ID),2300,Apparel and other finished products made from fabrics and similar materials,Public Company,25203010,Cut and Sew Apparel Manufacturing (3152)
NYSE:DCI,0,0,0,0,Industrials,Capital Goods,Machinery,Industrial Machinery,3072650,Industrial Filtration Systems,(Invalid Subsector ID),3714,Motor vehicle parts and accessories,Public Company,20106020,0
NYSE:GXP,Electric Utilities ,0,Electric services (4911),0,Utilities,Utilities,Electric Utilities,Electric Utilities,9521200,Electric Power Generation By Fossil Fuels,(Invalid Subsector ID),4911,Electric services,Public Company,55101010,Electric Power Distribution (221122)
NYSE:TOL,Homebuilding ,Leisure Facilities ,Building construction – general contractors and operative builders (1500),Miscellaneous amusement and recreation services (7990),Consumer Discretionary,Consumer Durables and Apparel,Household Durables,Homebuilding,4113100,"Residential Construction, General Contractors and Operative Builders",(Invalid Subsector ID),1531,Operative builders,Public Company,25201030,Residential Building Construction (23611)
NYSE:RRC,Oil & Gas Exploration & Production ,0,Crude petroleum and natural gas (1311),0,Energy,Energy,"Oil, Gas and Consumable Fuels",Oil and Gas Exploration and Production,1032200,Oil and Gas Production,(Invalid Subsector ID),1311,Crude petroleum and natural gas,Public Company,10102020,Crude Petroleum and Natural Gas Extraction (211111)
NasdaqGS:COHR,Electronic Components ,0,Electronic components and accessories (3670),0,Information Technology,Technology Hardware and Equipment,"Electronic Equipment, Instruments and Components",Electronic Equipment and Instruments,8131200,"Measuring, Analyzing, and Controlling Instruments",(Invalid Subsector ID),3826,Analytical instruments,Public Company,45203010,Semiconductor and Other Electronic Component Manufacturing (33441)
NYSE:GGG,Industrial Machinery ,0,Pumps and pumping equipment (3561),0,Industrials,Capital Goods,Machinery,Industrial Machinery,3072600,Pumps and Pumping Equipment,(Invalid Subsector ID),3561,Pumps and pumping equipment,Public Company,20106020,Pump and Pumping Equipment Manufacturing (333911)
NYSE:AA,Aluminum ,0,Primary smelting and refining of nonferrous metals (3330),0,Materials,Materials,Metals and Mining,Aluminum,2051001,Aluminum Production,(Invalid Subsector ID),3330,Primary smelting and refining of nonferrous metals,Public Company,15104010,Alumina and Aluminum Production and Processing (33131)
NasdaqGS:TRIP,Internet and Direct Marketing Retail ,0,Arrangement of passenger transportation (4720),0,Consumer Discretionary,Retailing,Internet and Direct Marketing Retail,Internet and Direct Marketing Retail,4212204,Online Hotel Booking Services,(Invalid Subsector ID),7370,"Computer programming, data processing, and other computer related services",Public Company,25502020,Travel Arrangement and Reservation Services (5615)
NYSE:ENLK,0,0,0,0,Energy,Energy,"Oil, Gas and Consumable Fuels",Oil and Gas Refining and Marketing,1033100,Oil and Gas Refining and Marketing,(Invalid Subsector ID),4923,Gas transmission and distribution,Public Company,10102030,0
NYSE:SCI,Specialized Consumer Services ,0,Funeral service and crematories (7261),0,Consumer Discretionary,Consumer Services,Diversified Consumer Services,Specialized Consumer Services,6033300,Cemeteries and Funeral Home Services,(Invalid Subsector ID),7200,Personal services,Public Company,25302020,Death Care Services (8122)
NasdaqGS:ERIE,0,0,0,0,Financials,Insurance,Insurance,Property and Casualty Insurance,0,0,(Invalid Subsector ID),6411,"Insurance agents, brokers, and service",Public Company,40301040,0
NYSE:KAR,Specialized Finance ,0,Business credit institutions (6150),0,Industrials,Commercial and Professional Services,Commercial Services and Supplies,Diversified Support Services,3112475,Commercial Auction Services ,(Invalid Subsector ID),7389,Business services,Public Company,20201070,Nondepository Credit Intermediation (5222)
NYSE:EQM,Gas Utilities ,Oil & Gas Storage & Transportation ,Gas production and distribution (4920),Natural gas transmission (4922),Energy,Energy,"Oil, Gas and Consumable Fuels",Oil and Gas Storage and Transportation,1033307,Natural Gas Pipelines,(Invalid Subsector ID),4922,Natural gas transmission,Public Company,10102040,Natural Gas Distribution (221210)
NYSE:XPO,Air Freight & Logistics ,Trucking ,"Air transportation, nonscheduled (4522)","Trucking and courier services, except air (4210)",Industrials,Transportation,Air Freight and Logistics,Air Freight and Logistics,3211100,Air Courier Services,(Invalid Subsector ID),4731,Freight transportation arrangement,Public Company,20301010,Nonscheduled Chartered Freight Air Transportation (481212)
NYSE:BRO,Insurance Brokers ,0,"Insurance agents, brokers, and service (6411)",0,Financials,Insurance,Insurance,Insurance Brokers,7211100,Claim Adjusters,(Invalid Subsector ID),6411,"Insurance agents, brokers, and service",Public Company,40301010,Third Party Administration of Insurance and Pension Funds (524292)
NasdaqGS:DXCM,Health Care Equipment ,0,"Surgical, medical, and dental instruments and supplies (3840)",0,Healthcare,Healthcare Equipment and Services,Healthcare Equipment and Supplies,Healthcare Equipment,6021125,"Medical Testing, Analyzing, and Diagnostic Equipment",(Invalid Subsector ID),3845,Electromedical equipment,Public Company,35101010,Medical Equipment and Supplies Manufacturing (33911)
NYSE:RHI,Human Resource & Employment Services ,IT Consulting & Other Services ,Help supply services (7363),Help supply services (7363),Industrials,Commercial and Professional Services,Professional Services,Human Resource and Employment Services,3113300,Executive Placing Services,(Invalid Subsector ID),7363,Help supply services,Public Company,20202010,Temporary Help Services (561320)
NasdaqGS:BIVV,Pharmaceuticals ,0,Drugs (2830),0,Healthcare,"Pharmaceuticals, Biotechnology and Life Sciences",Biotechnology,Biotechnology,0,0,(Invalid Subsector ID),2836,Biological products except diagnostic,Public Company,35201010,Pharmaceutical and Medicine Manufacturing (32541)
NasdaqGS:LECO,Industrial Machinery ,Diversified Metals & Mining ,Metalworking machinery and equipment (3540),Fabricated structural metal products (3440),Industrials,Capital Goods,Machinery,Industrial Machinery,3072300,Metal and Mineral Mining Machinery and Equipment,(Invalid Subsector ID),3540,Metalworking machinery and equipment,Public Company,20106020,Metalworking Machinery Manufacturing (33351)
NasdaqGS:LOGM,Internet Software & Services ,0,Information retrieval services (7375),0,Information Technology,Software and Services,Internet Software and Services,Internet Software and Services,8021200,Online Services,(Invalid Subsector ID),7370,"Computer programming, data processing, and other computer related services",Public Company,45101010,"Data Processing, Hosting, and Related Services (518)"
NYSE:CFR,0,0,0,0,Financials,Banks,Banks,Regional Banks,7012200,National and State Commercial Banks,(Invalid Subsector ID),6020,Commercial banks,Public Company,40101015,0
NYSE:TLLP,Oil & Gas Storage & Transportation ,Oil & Gas Storage & Transportation ,"Pipelines, except natural gas (4610)","Pipelines, except natural gas (4610)",Energy,Energy,"Oil, Gas and Consumable Fuels",Oil and Gas Storage and Transportation,1033307,Natural Gas Pipelines,(Invalid Subsector ID),4610,"Pipelines, except natural gas",Public Company,10102040,Pipeline Transportation of Crude Oil (486110)
NasdaqGS:FWON.K,Movies & Entertainment ,0,Amusement and recreation services (7900),0,Consumer Discretionary,Media,Media,Movies and Entertainment,4313400,Entertainment Services,(Invalid Subsector ID),7948,"Racing, including track operation",Public Company,25401030,"Performing Arts, Spectator Sports, and Related Industries (711)"
NasdaqGS:OZRK,Regional Banks ,Investment Banking & Brokerage ,Commercial banks (6020),"Security and commodity brokers, dealers, exchanges, and services (6200)",Financials,Banks,Banks,Regional Banks,7012200,National and State Commercial Banks,(Invalid Subsector ID),6020,Commercial banks,Public Company,40101015,Commercial Banking (522110)
NasdaqGS:ABMD,Health Care Equipment ,0,"Surgical, medical, and dental instruments and supplies (3840)",0,Healthcare,Healthcare Equipment and Services,Healthcare Equipment and Supplies,Healthcare Equipment,6021200,Therapeutic Devices,(Invalid Subsector ID),3841,Surgical and medical instruments,Public Company,35101010,Medical Equipment and Supplies Manufacturing (33911)
NasdaqGS:SPLS,Specialty Stores ,Internet and Direct Marketing Retail ,Stationery stores (5943),Catalog and mail-order houses (5961),Consumer Discretionary,Retailing,Specialty Retail,Specialty Stores,4444150,Office Furnishings and Equipment Stores,(Invalid Subsector ID),5110,Paper and paper products - wholesale,Public Company,25504040,Office Supplies and Stationery Stores (453210)
NYSE:ALSN,Construction Machinery and Heavy Trucks ,Auto Parts & Equipment ,Industrial trucks and tractors (3537),Motor vehicle parts and accessories (3714),Industrials,Capital Goods,Machinery,Construction Machinery and Heavy Trucks,0,0,(Invalid Subsector ID),3714,Motor vehicle parts and accessories,Public Company,20106010,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing (333924)"
NYSE:BAH,IT Consulting & Other Services ,Research & Consulting Services ,Computer related services (7379),Management and public relations services (8740),Information Technology,Software and Services,IT Services,IT Consulting and Other Services,8031100,Information Technology (IT) Consulting,(Invalid Subsector ID),7370,"Computer programming, data processing, and other computer related services",Public Company,45102010,Computer Systems Design and Related Services (5415)
NYSE:OA,Aerospace & Defense ,Aerospace & Defense ,"Ordnance and accessories, except vehicles and guided missiles (3480)",Tanks and tank components (3795),Industrials,Capital Goods,Aerospace and Defense,Aerospace and Defense,3021400,Aerospace Research and Development,(Invalid Subsector ID),3480,"Ordnance and accessories, except vehicles and guided missiles",Public Company,20101010,All Other Fabricated Metal Product Manufacturing (33299)
NYSE:STWD,Mortgage Real Estate Investment Trusts  (40204010),0,Real estate investment trusts (6798),0,Financials,Diversified Financials,Mortgage Real Estate Investment Trusts (REITs),Mortgage REITs,0,0,(Invalid Subsector ID),6798,Real estate investment trusts,Public Company,40204010,Other Financial Vehicles (525990)
NYSE:WTR,0,0,0,0,Utilities,Utilities,Water Utilities,Water Utilities,9551700,Irrigation Systems,(Invalid Subsector ID),4941,Water supply,Public Company,55104010,0
NasdaqGS:PBCT,Regional Banks ,Asset Management & Custody Banks ,Commercial banks (6020),Investment offices (6720),Financials,Banks,Banks,Regional Banks,7012200,National and State Commercial Banks,(Invalid Subsector ID),6036,"Savings institutions, except federal",Public Company,40101015,Commercial Banking (522110)
NasdaqGS:EXEL,Biotechnology ,Pharmaceuticals ,Pharmaceutical preparations (2834),Pharmaceutical preparations (2834),Healthcare,"Pharmaceuticals, Biotechnology and Life Sciences",Biotechnology,Biotechnology,0,0,(Invalid Subsector ID),2836,Biological products except diagnostic,Public Company,35201010,Pharmaceutical Preparation Manufacturing (325412)
NYSE:HEI,0,0,0,0,Industrials,Capital Goods,Aerospace and Defense,Aerospace and Defense,9551739,Aerospace and Defense Maintenance and Services,(Invalid Subsector ID),3724,Aircraft engines and engine parts,Public Company,20101010,0
NYSE:PSXP,Oil & Gas Storage & Transportation ,Oil & Gas Storage & Transportation ,"Pipelines, except natural gas (4610)",Natural gas transmission (4922),Energy,Energy,"Oil, Gas and Consumable Fuels",Oil and Gas Storage and Transportation,1033307,Natural Gas Pipelines,(Invalid Subsector ID),4610,"Pipelines, except natural gas",Public Company,10102040,Pipeline Transportation of Crude Oil (486110)
NasdaqGS:SATS,Communications Equipment ,Alternative Carriers ,Telephone and telegraph apparatus (3661),Communication services  (4899),Information Technology,Technology Hardware and Equipment,Communications Equipment,Communications Equipment,8111200,Networking Equipment,(Invalid Subsector ID),3663,Radio and Television communications equipment,Public Company,45201020,Telephone Apparatus Manufacturing (334210)
NYSE:SIX,Leisure Facilities ,Restaurants ,Amusement and recreation services (7900),Eating places (5812),Consumer Discretionary,Consumer Services,"Hotels, Restaurants and Leisure",Leisure Facilities,4213100,Amusement And Recreation Services,(Invalid Subsector ID),7996,Amusement parks,Public Company,25301030,"Amusement, Gambling, and Recreation Industries (713)"
NasdaqGS:PACW,Regional Banks ,Consumer Finance ,Commercial banks (6020),Functions related to deposit banking (6099),Financials,Banks,Banks,Regional Banks,7012200,National and State Commercial Banks,(Invalid Subsector ID),6020,Commercial banks,Public Company,40101015,Commercial Banking (522110)
NasdaqGS:MSCC,0,0,0,0,Information Technology,Semiconductors and Semiconductor Equipment,Semiconductors and Semiconductor Equipment,Semiconductors,8212100,Analog and Mixed Signal,(Invalid Subsector ID),3674,Semiconductors and related devices,Public Company,45301020,0
NYSE:EGN,0,0,0,0,Energy,Energy,"Oil, Gas and Consumable Fuels",Oil and Gas Exploration and Production,1032200,Oil and Gas Production,(Invalid Subsector ID),4924,Natural gas distribution,Public Company,10102020,0
NasdaqGS:IONS,Health Care Equipment ,Pharmaceuticals ,"Surgical, medical, and dental instruments and supplies (3840)",Drugs (2830),Healthcare,"Pharmaceuticals, Biotechnology and Life Sciences",Biotechnology,Biotechnology,0,0,(Invalid Subsector ID),2834,Pharmaceutical preparations,Public Company,35201010,Medical Equipment and Supplies Manufacturing (33911)
NYSE:W,Internet and Direct Marketing Retail ,0,Nonstore retailers (5960),0,Consumer Discretionary,Retailing,Internet and Direct Marketing Retail,Internet and Direct Marketing Retail,4422001,Online Specialty Retail,(Invalid Subsector ID),5961,Catalog and mail-order houses,Public Company,25502020,Electronic Shopping (454111)
NYSE:RL,"Apparel, Accessories & Luxury Goods ",Home Furnishings ,Apparel and other finished products made from fabrics and similar materials (2300),Household furniture (2510),Consumer Discretionary,Consumer Durables and Apparel,"Textiles, Apparel and Luxury Goods","Apparel, Accessories and Luxury Goods",4131200,Accessories,(Invalid Subsector ID),2320,"Men's and boys' furnishings, work clothing, and allied garments",Public Company,25203010,Cut and Sew Apparel Manufacturing (3152)
TSX:TRQ,Diversified Metals & Mining ,Gold ,Metal mining (1000),Gold ores (1041),Materials,Materials,Metals and Mining,Diversified Metals and Mining,0,0,(Invalid Subsector ID),1000,Metal mining,Public Company,15104020,"Copper, Nickel, Lead, and Zinc Mining (21223)"
NasdaqGS:UTHR,Health Care Equipment ,Healthcare Services ,"Surgical, medical, and dental instruments and supplies (3840)",Health and allied services (8099),Healthcare,"Pharmaceuticals, Biotechnology and Life Sciences",Biotechnology,Biotechnology,0,0,(Invalid Subsector ID),2834,Pharmaceutical preparations,Public Company,35201010,Medical Equipment and Supplies Manufacturing (33911)
NasdaqGS:CBSH,Regional Banks ,Thrifts & Mortgage Finance ,Commercial banks (6020),Mortgage bankers and correspondents (6162),Financials,Banks,Banks,Regional Banks,0,0,(Invalid Subsector ID),6020,Commercial banks,Public Company,40101015,Commercial Banking (522110)
TSX:BB,"Technology Hardware, Storage and Peripherals ",Systems Software ,Radio and Television communications equipment (3663),Prepackaged software (7372),Information Technology,Technology Hardware and Equipment,"Technology Hardware, Storage and Peripherals","Technology Hardware, Storage and Peripherals",8111112,Wireless Telephone Equipment,(Invalid Subsector ID),7372,Prepackaged software,Public Company,45202030,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing (334220)
NasdaqGS:OLED,Electronic Components ,0,Electronic components and accessories (3670),0,Information Technology,Technology Hardware and Equipment,"Electronic Equipment, Instruments and Components",Electronic Components,8131100,Electronic Components,(Invalid Subsector ID),3674,Semiconductors and related devices,Public Company,45203015,Semiconductor and Other Electronic Component Manufacturing (33441)
NYSE:NEU,Specialty Chemicals ,Commodity Chemicals ,Cyclic crudes and intermediates (2865),Industrial organic chemicals (2860),Materials,Materials,Chemicals,Specialty Chemicals,0,0,(Invalid Subsector ID),2860,Industrial organic chemicals,Public Company,15101050,Synthetic Dye and Pigment Manufacturing (325130)
NYSE:PII,Motorcycle Manufacturers ,Automobile Manufacturers ,Transportation equipment  (3799),Motor vehicles and car bodies (3711),Consumer Discretionary,Consumer Durables and Apparel,Leisure Products,Leisure Products,0,0,(Invalid Subsector ID),3790,Miscellaneous transportation equipment,Public Company,25202010,All Other Transportation Equipment Manufacturing (336999)
NYSE:PK,Equity Real Estate Investment Trusts  (60101030),0,Real estate investment trusts (6798),0,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Hotel and Resort REITs,0,0,(Invalid Subsector ID),6798,Real estate investment trusts,Public Investment Firm,60101030,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120)
NYSE:POST,Packaged Foods & Meats ,Packaged Foods & Meats ,Cereal breakfast foods (2043),Food and kindred products (2000),Consumer Staples,"Food, Beverage and Tobacco",Food Products,Packaged Foods and Meats,5122300,Dairy Products and Eggs,(Invalid Subsector ID),2015,Poultry slaughtering and processing,Public Company,30202030,Breakfast Cereal Manufacturing (311230)
NYSE:AIZ,Property & Casualty Insurance ,Property & Casualty Insurance ,"Fire, marine, and casualty insurance (6331)","Fire, marine, and casualty insurance (6331)",Financials,Insurance,Insurance,Multi-line Insurance,0,0,(Invalid Subsector ID),6351,Surety insurance,Public Company,40301030,Direct Property and Casualty Insurance Carriers (524126)
NasdaqGS:ZBRA,Electronic Equipment & Instruments ,Office Services & Supplies ,"Measuring, analyzing, and control instruments; photographic, medical, and optical goods; and watches and clocks (3800)",Manufacturing industries  (3999),Information Technology,Technology Hardware and Equipment,"Electronic Equipment, Instruments and Components",Electronic Equipment and Instruments,8131200,"Measuring, Analyzing, and Controlling Instruments",(Invalid Subsector ID),7373,Computer integrated systems design,Public Company,45203010,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals (334515)
NasdaqGS:NUAN,0,0,0,0,Information Technology,Software and Services,Software,Application Software,8041350,Enterprise Software,(Invalid Subsector ID),7372,Prepackaged software,Public Company,45103010,0
NasdaqGS:BOKF,Regional Banks ,0,Commercial banks (6020),0,Financials,Banks,Banks,Regional Banks,7012200,National and State Commercial Banks,(Invalid Subsector ID),6020,Commercial banks,Public Company,40101015,Commercial Banking (522110)
TSX:CPG,Oil & Gas Exploration & Production ,0,Crude petroleum and natural gas (1311),0,Energy,Energy,"Oil, Gas and Consumable Fuels",Oil and Gas Exploration and Production,1032200,Oil and Gas Production,(Invalid Subsector ID),1311,Crude petroleum and natural gas,Public Company,10102020,Oil and Gas Extraction (21111)
NYSE:HRB,0,0,0,0,Consumer Discretionary,Consumer Services,Diversified Consumer Services,Specialized Consumer Services,0,0,(Invalid Subsector ID),7200,Personal services,Public Company,25302020,0
NasdaqGS:GNTX,0,0,0,0,Consumer Discretionary,Automobiles and Components,Auto Components,Auto Parts and Equipment,4012800,Motor Vehicle Accessories,(Invalid Subsector ID),3714,Motor vehicle parts and accessories,Public Company,25101010,0
NasdaqGS:ATHN,Health Care Technology ,0,Prepackaged software (7372),0,Healthcare,Healthcare Equipment and Services,Health Care Technology,Health Care Technology,8041963,Healthcare Industry Software,(Invalid Subsector ID),7370,"Computer programming, data processing, and other computer related services",Public Company,35103010,Software Publishers (511210)
NYSE:JBL,Consumer Electronics ,"Technology Hardware, Storage and Peripherals ",Household audio and video equipment (3651),Radio and Television communications equipment (3663),Information Technology,Technology Hardware and Equipment,"Electronic Equipment, Instruments and Components",Electronic Manufacturing Services,8132200,Outsourced Technology Manufacturing Services,(Invalid Subsector ID),3672,Printed circuit boards,Public Company,45203020,Audio and Video Equipment Manufacturing (334310)
TSX:K,Gold ,0,Gold ores (1041),Silver ores (1044),Materials,Materials,Metals and Mining,Gold,2053010,Gold Ores,(Invalid Subsector ID),1040,Gold and silver ores,Public Company,15104030,Gold Ore Mining (212221)
NYSE:DCP,Oil & Gas Refining & Marketing ,Oil & Gas Storage & Transportation ,Petroleum refining (2911),Natural gas transmission (4922),Energy,Energy,"Oil, Gas and Consumable Fuels",Oil and Gas Storage and Transportation,1033307,Natural Gas Pipelines,(Invalid Subsector ID),1311,Crude petroleum and natural gas,Public Company,10102040,Petroleum Refineries (324110)
NYSE:SMG,Fertilizers & Agricultural Chemicals ,0,Nitrogenous fertilizers (2873),0,Materials,Materials,Chemicals,Fertilizers and Agricultural Chemicals,0,0,(Invalid Subsector ID),2870,Agricultural chemicals,Public Company,15101030,Nitrogenous Fertilizer Manufacturing (325311)
NYSE:DLB,Movies & Entertainment ,0,Photographic equipment and supplies (3861),0,Information Technology,Technology Hardware and Equipment,"Electronic Equipment, Instruments and Components",Electronic Components,0,0,(Invalid Subsector ID),6794,Patent owners and lessors,Public Company,45203015,Photographic and Photocopying Equipment Manufacturing (333316)
NasdaqGS:RGLD,Gold ,Silver ,Gold ores (1041),Silver ores (1044),Materials,Materials,Metals and Mining,Gold,2053010,Gold Ores,(Invalid Subsector ID),6795,Mineral royalty traders,Public Company,15104030,Gold Ore Mining (212221)
NYSE:MDU,Oil & Gas Exploration & Production ,0,Crude petroleum and natural gas (1311),0,Utilities,Utilities,Multi-Utilities,Multi-Utilities,0,0,(Invalid Subsector ID),4932,Gas and other services combined,Public Company,55103010,Oil and Gas Extraction (21111)
NYSE:RS,Steel ,Diversified Metals & Mining ,"Steel works, blast furnaces, and rolling and finishing mills (3310)","Coating, engraving, and allied services (3470)",Materials,Materials,Metals and Mining,Steel,0,0,(Invalid Subsector ID),5051,Metals service centers and offices,Public Company,15104050,Iron and Steel Mills and Ferroalloy Manufacturing (33111)
NYSE:ATR,Metal & Glass Containers ,Diversified Metals & Mining ,Miscellaneous plastics products (3080),Fabricated structural metal products (3440),Materials,Materials,Containers and Packaging,Metal and Glass Containers,2041300,Plastic Packaging,(Invalid Subsector ID),3089,Plastics products,Public Company,15103010,Plastics Product Manufacturing (3261)
NYSE:HHC,Real Estate Development ,0,Land subdividers and developers (6550),0,Real Estate,Real Estate,Real Estate Management and Development,Real Estate Development,7312400,Land Sub Dividers And Developers,(Invalid Subsector ID),6552,Subdividers and developers,Public Company,60102030,Land Subdivision (237210)
NYSE:OLN,Industrial Gases ,Commodity Chemicals ,Alkalies and chlorine (2812),Industrial inorganic chemicals (2810),Materials,Materials,Chemicals,Commodity Chemicals,2021100,Industrial Inorganic Chemicals,(Invalid Subsector ID),2810,Industrial inorganic chemicals,Public Company,15101010,Other Basic Inorganic Chemical Manufacturing (325180)
NasdaqGS:BRCD,Communications Equipment ,Systems Software ,Telephone and telegraph apparatus (3661),Prepackaged software (7372),Information Technology,Technology Hardware and Equipment,Communications Equipment,Communications Equipment,8111200,Networking Equipment,(Invalid Subsector ID),3576,Computer communications equipment,Public Company,45201020,Telephone Apparatus Manufacturing (334210)
NasdaqGS:ARRS,Communications Equipment ,0,Telephone and telegraph apparatus (3661),0,Information Technology,Technology Hardware and Equipment,Communications Equipment,Communications Equipment,8111200,Networking Equipment,(Invalid Subsector ID),3663,Radio and Television communications equipment,Public Company,45201020,Telephone Apparatus Manufacturing (334210)
NYSE:JLL,0,0,0,0,Real Estate,Real Estate,Real Estate Management and Development,Real Estate Services,0,0,(Invalid Subsector ID),6531,Real estate agents and managers,Public Company,60102040,0
NasdaqGS:BBBY,Homefurnishing Retail ,Homefurnishing Retail ,Drapery and upholstery stores (5714),Furniture stores (5712),Consumer Discretionary,Retailing,Specialty Retail,Home Furnishing Retail,0,0,(Invalid Subsector ID),5700,"Home furniture, furnishings, and equipment stores",Public Company,25504060,All Other Home Furnishings Stores (442299)
NYSE:ORI,0,0,0,0,Financials,Insurance,Insurance,Property and Casualty Insurance,7214100,Casualty,(Invalid Subsector ID),6331,"Fire, marine, and casualty insurance",Public Company,40301040,0
NYSE:CHK,Oil & Gas Refining & Marketing ,0,Petroleum refining (2911),0,Energy,Energy,"Oil, Gas and Consumable Fuels",Oil and Gas Exploration and Production,1032200,Oil and Gas Production,(Invalid Subsector ID),1311,Crude petroleum and natural gas,Public Company,10102020,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals) (424720)
NYSE:AGCO,0,0,0,0,Industrials,Capital Goods,Machinery,Agricultural and Farm Machinery,3071200,Agricultural Machinery and Equipment,(Invalid Subsector ID),3523,Farm machinery and equipment,Public Company,20106015,0
NYSE:SNV,Consumer Finance ,0,Functions related to deposit banking (6099),0,Financials,Banks,Banks,Regional Banks,7012200,National and State Commercial Banks,(Invalid Subsector ID),6020,Commercial banks,Public Company,40101015,"Financial Transactions Processing, Reserve, and Clearinghouse Activities (522320)"
NYSE:LGF.A,Movies & Entertainment ,Movies & Entertainment ,Motion picture and video production (7812),Motion pictures (7800),Consumer Discretionary,Media,Media,Movies and Entertainment,4313200,Entertainment Production Companies,(Invalid Subsector ID),7812,Motion picture and video production,Public Company,25401030,Motion Picture and Video Production (512110)
NYSE:ACM,0,0,0,0,Industrials,Capital Goods,Construction and Engineering,Construction and Engineering,3041500,Construction Support Services,(Invalid Subsector ID),8711,Engineering services,Public Company,20103010,0
NasdaqGS:DNKN,Restaurants ,0,Eating places (5812),0,Consumer Discretionary,Consumer Services,"Hotels, Restaurants and Leisure",Restaurants,4214200,Limited Service Restaurants,(Invalid Subsector ID),5812,Eating places,Public Company,25301040,Limited-Service Restaurants (722513)
